dataset,organisation,organisation_name,quality,total_entity_count
agricultural-land-classification,government-organisation:PB202,Natural England,authoritative,585
air-quality-management-area,government-organisation:D7,"Department for Environment, Food & Rural Affairs",authoritative,498
ancient-woodland,government-organisation:PB202,Natural England,authoritative,44373
ancient-woodland-status,government-organisation:PB202,Natural England,authoritative,2
archaeological-priority-area,government-organisation:PB1164,Historic England,authoritative,796
area-of-outstanding-natural-beauty,government-organisation:PB202,Natural England,some,34
article-4-direction,local-authority:ADU,Adur District Council,authoritative,9
article-4-direction,local-authority:ASF,Ashford Borough Council,authoritative,75
article-4-direction,local-authority:BDG,London Borough of Barking and Dagenham,authoritative,3
article-4-direction,local-authority:BEN,London Borough of Brent,authoritative,39
article-4-direction,local-authority:BIR,Birmingham City Council,authoritative,12
article-4-direction,local-authority:BNE,London Borough of Barnet,authoritative,15
article-4-direction,local-authority:BRO,Broadland District Council,authoritative,28
article-4-direction,local-authority:BRY,London Borough of Bromley,authoritative,108
article-4-direction,local-authority:BST,Bristol City Council,authoritative,16
article-4-direction,local-authority:BUN,Burnley Borough Council,authoritative,4
article-4-direction,local-authority:CAB,Cambridge City Council,authoritative,19
article-4-direction,local-authority:CAS,Castle Point Borough Council,authoritative,4
article-4-direction,local-authority:CBF,Central Bedfordshire Council,authoritative,7
article-4-direction,local-authority:CHL,Chelmsford City Council,authoritative,27
article-4-direction,local-authority:CLD,Calderdale Metropolitan Borough Council,authoritative,1
article-4-direction,local-authority:CMD,London Borough of Camden,authoritative,21
article-4-direction,local-authority:COL,Colchester City Council,authoritative,10
article-4-direction,local-authority:COT,Cotswold District Council,authoritative,22
article-4-direction,local-authority:COV,Coventry City Council,authoritative,14
article-4-direction,local-authority:CRW,Crawley Borough Council,authoritative,19
article-4-direction,local-authority:DAR,Dartford Borough Council,authoritative,6
article-4-direction,local-authority:DOV,Dover District Council,authoritative,55
article-4-direction,local-authority:DST,Dorset Council,authoritative,78
article-4-direction,local-authority:ECA,East Cambridgeshire District Council,authoritative,3
article-4-direction,local-authority:EHA,East Hampshire District Council,authoritative,51
article-4-direction,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,1
article-4-direction,local-authority:ERY,East Riding of Yorkshire Council,authoritative,11
article-4-direction,local-authority:EXE,Exeter City Council,authoritative,1
article-4-direction,local-authority:FEN,Fenland District Council,authoritative,5
article-4-direction,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,5
article-4-direction,local-authority:HAA,Havant Borough Council,authoritative,6
article-4-direction,local-authority:HAL,Halton Borough Council,authoritative,1
article-4-direction,local-authority:HAR,Harlow District Council,authoritative,14
article-4-direction,local-authority:HAT,Hart District Council,authoritative,47
article-4-direction,local-authority:HIL,London Borough of Hillingdon,authoritative,150
